,State,Region,County,Food insecurity,Limited access to healthy foods,Adult obesity
2876,MO,Midwest,Livingston County,0.155,0.032,0.299
2877,MO,Midwest,Macon County,0.136,0.055,0.309
2878,MO,Midwest,Macon County,0.142,0.055,0.325
2879,MO,Midwest,Madison County,0.159,0.082,0.36
2880,MO,Midwest,Madison County,0.15,0.082,0.359
2881,MO,Midwest,Maries County,0.131,0.016,0.308
2882,MO,Midwest,Maries County,0.134,0.016,0.289
2883,MO,Midwest,Marion County,0.149,0.062,0.283
2884,MO,Midwest,Marion County,0.151,0.062,0.318
2885,MO,Midwest,McDonald County,0.148,0.022,0.317
2886,MO,Midwest,McDonald County,0.154,0.022,0.298
2887,MO,Midwest,Mercer County,0.135,0.048,0.324
2888,MO,Midwest,Mercer County,0.135,0.048,0.346
2889,MO,Midwest,Miller County,0.165,0.014,0.349
2890,MO,Midwest,Miller County,0.163,0.014,0.358
2891,MO,Midwest,Mississippi County,0.216,0.003,0.336
2892,MO,Midwest,Mississippi County,0.201,0.003,0.332
2893,MO,Midwest,Moniteau County,0.135,0.027,0.313
2894,MO,Midwest,Moniteau County,0.137,0.027,0.31
2895,MO,Midwest,Monroe County,0.153,0.013,0.321
2896,MO,Midwest,Monroe County,0.151,0.013,0.316
2897,MO,Midwest,Montgomery County,0.155,0.046,0.312
2898,MO,Midwest,Montgomery County,0.154,0.046,0.326
2899,MO,Midwest,Morgan County,0.161,0.012,0.285
2900,MO,Midwest,Morgan County,0.158,0.012,0.293
2901,MO,Midwest,New Madrid County,0.195,0.017,0.332
2902,MO,Midwest,New Madrid County,0.19,0.017,0.325
2903,MO,Midwest,Newton County,0.142,0.087,0.322
2904,MO,Midwest,Newton County,0.139,0.087,0.31
2905,MO,Midwest,Nodaway County,0.175,0.219,0.303
2906,MO,Midwest,Nodaway County,0.182,0.219,0.279
2907,MO,Midwest,Oregon County,0.166,0.093,0.323
2908,MO,Midwest,Oregon County,0.165,0.093,0.32
2909,MO,Midwest,Osage County,0.111,0.044,0.292
2910,MO,Midwest,Osage County,0.115,0.044,0.317
2911,MO,Midwest,Ozark County,0.148,0.282,0.293
2912,MO,Midwest,Ozark County,0.153,0.282,0.312
2913,MO,Midwest,Pemiscot County,0.239,0.044,0.354
2914,MO,Midwest,Pemiscot County,0.225,0.044,0.337
2915,MO,Midwest,Perry County,0.119,0.048,0.327
2916,MO,Midwest,Perry County,0.125,0.048,0.307
2917,MO,Midwest,Pettis County,0.15,0.061,0.324
2918,MO,Midwest,Pettis County,0.154,0.061,0.316
2919,MO,Midwest,Phelps County,0.158,0.063,0.327
2920,MO,Midwest,Phelps County,0.163,0.063,0.315
2921,MO,Midwest,Pike County,0.151,0.1,0.331
2922,MO,Midwest,Pike County,0.153,0.1,0.344
2923,MO,Midwest,Platte County,0.132,0.061,0.292
2924,MO,Midwest,Platte County,0.13,0.061,0.3
2925,MO,Midwest,Polk County,0.161,0.034,0.34
2926,MO,Midwest,Polk County,0.167,0.034,0.312
2927,MO,Midwest,Pulaski County,0.174,0.064,0.344
2928,MO,Midwest,Pulaski County,0.176,0.064,0.336
2929,MO,Midwest,Putnam County,0.142,0.111,0.295
2930,MO,Midwest,Putnam County,0.149,0.111,0.311
2931,MO,Midwest,Ralls County,0.117,0.029,0.323
2932,MO,Midwest,Ralls County,0.124,0.029,0.347
2933,MO,Midwest,Randolph County,0.166,0.073,0.343
2934,MO,Midwest,Randolph County,0.164,0.073,0.316
2935,MO,Midwest,Ray County,0.136,0.035,0.313
2936,MO,Midwest,Ray County,0.142,0.035,0.315
2937,MO,Midwest,Reynolds County,0.191,0.207,0.348
2938,MO,Midwest,Reynolds County,0.179,0.207,0.332
2939,MO,Midwest,Ripley County,0.176,0.131,0.338
2940,MO,Midwest,Ripley County,0.179,0.131,0.338
2941,MO,Midwest,Saline County,0.158,0.098,0.338
2942,MO,Midwest,Saline County,0.157,0.098,0.393
2943,MO,Midwest,Schuyler County,0.165,0.315,0.309
2944,MO,Midwest,Schuyler County,0.17,0.315,0.32
2945,MO,Midwest,Scotland County,0.14,0.067,0.355
2946,MO,Midwest,Scotland County,0.136,0.067,0.342
2947,MO,Midwest,Scott County,0.168,0.121,0.323
2948,MO,Midwest,Scott County,0.167,0.121,0.375
2949,MO,Midwest,Shannon County,0.185,0.131,0.366
2950,MO,Midwest,Shannon County,0.171,0.131,0.342
2951,MO,Midwest,Shelby County,0.146,0.149,0.317
2952,MO,Midwest,Shelby County,0.153,0.149,0.333
2953,MO,Midwest,St. Charles County,0.109,0.05,0.306
2954,MO,Midwest,St. Charles County,0.112,0.05,0.302
2955,MO,Midwest,St. Clair County,0.16,0.036,0.336
2956,MO,Midwest,St. Clair County,0.158,0.036,0.311
2957,MO,Midwest,St. Francois County,0.171,0.056,0.32
2958,MO,Midwest,St. Francois County,0.169,0.056,0.325
2959,MO,Midwest,St. Louis County,0.158,0.05,0.283
2960,MO,Midwest,St. Louis County,0.156,0.05,0.282
2961,MO,Midwest,St. Louis city,0.273,0.047,0.329
2962,MO,Midwest,St. Louis city,0.256,0.047,0.333
2963,MO,Midwest,Ste. Genevieve County,0.132,0.085,0.286
2964,MO,Midwest,Ste. Genevieve County,0.128,0.085,0.283
2965,MO,Midwest,Stoddard County,0.158,0.023,0.329
2966,MO,Midwest,Stoddard County,0.155,0.023,0.317
2967,MO,Midwest,Stone County,0.169,0.003,0.309
2968,MO,Midwest,Stone County,0.165,0.003,0.325
2969,MO,Midwest,Sullivan County,0.143,0.14,0.302
2970,MO,Midwest,Sullivan County,0.14,0.14,0.32
2971,MO,Midwest,Taney County,0.176,0.087,0.313
2972,MO,Midwest,Taney County,0.173,0.087,0.299
2973,MO,Midwest,Texas County,0.161,0.062,0.338
2974,MO,Midwest,Texas County,0.162,0.062,0.321
2975,MO,Midwest,Vernon County,0.154,0.085,0.306
2976,MO,Midwest,Vernon County,0.155,0.085,0.281
2977,MO,Midwest,Warren County,0.137,0.018,0.314
2978,MO,Midwest,Warren County,0.143,0.018,0.308
2979,MO,Midwest,Washington County,0.181,0.09,0.326
2980,MO,Midwest,Washington County,0.181,0.09,0.338
2981,MO,Midwest,Wayne County,0.167,0.192,0.276
2982,MO,Midwest,Wayne County,0.17,0.192,0.325
2983,MO,Midwest,Webster County,0.144,0.021,0.322
2984,MO,Midwest,Webster County,0.145,0.021,0.326
2985,MO,Midwest,Worth County,0.134,0.103,0.298
2986,MO,Midwest,Wright County,0.177,0.061,0.347
2987,MO,Midwest,Wright County,0.175,0.061,0.355
2988,MS,South,Adams County,0.253,0.157,0.361
2989,MS,South,Adams County,0.242,0.157,0.371
2990,MS,South,Alcorn County,0.179,0.046,0.321
2991,MS,South,Alcorn County,0.177,0.046,0.333
2992,MS,South,Amite County,0.211,0.109,0.347
2993,MS,South,Amite County,0.217,0.109,0.383
2994,MS,South,Attala County,0.235,0.046,0.379
2995,MS,South,Attala County,0.228,0.046,0.389
2996,MS,South,Benton County,0.227,0.223,0.358
2997,MS,South,Benton County,0.218,0.223,0.388
2998,MS,South,Bolivar County,0.288,0.242,0.356
2999,MS,South,Bolivar County,0.281,0.242,0.342
3000,MS,South,Calhoun County,0.194,0.042,0.336
3001,MS,South,Calhoun County,0.194,0.042,0.34
3002,MS,South,Carroll County,0.191,0.243,0.331
3003,MS,South,Carroll County,0.196,0.243,0.348
3004,MS,South,Chickasaw County,0.23,0.025,0.371
3005,MS,South,Chickasaw County,0.227,0.025,0.362
3006,MS,South,Choctaw County,0.2,0.021,0.348
3007,MS,South,Choctaw County,0.202,0.021,0.344
3008,MS,South,Claiborne County,0.319,0.104,0.414
3009,MS,South,Claiborne County,0.29,0.104,0.418
3010,MS,South,Clarke County,0.209,0.065,0.349
3011,MS,South,Clarke County,0.208,0.065,0.342
3012,MS,South,Clay County,0.283,0.1,0.394
3013,MS,South,Clay County,0.27,0.1,0.391
3014,MS,South,Coahoma County,0.328,0.162,0.474
3015,MS,South,Coahoma County,0.308,0.162,0.441
3016,MS,South,Copiah County,0.222,0.158,0.354
3017,MS,South,Copiah County,0.223,0.158,0.371
3018,MS,South,Covington County,0.193,0.0,0.386
3019,MS,South,Covington County,0.197,0.0,0.374
3020,MS,South,DeSoto County,0.135,0.076,0.328
3021,MS,South,DeSoto County,0.143,0.076,0.352
3022,MS,South,Forrest County,0.227,0.066,0.364
3023,MS,South,Forrest County,0.225,0.066,0.345
3024,MS,South,Franklin County,0.207,0.159,0.411
3025,MS,South,Franklin County,0.203,0.159,0.381
3026,MS,South,George County,0.16,0.042,0.374
3027,MS,South,George County,0.161,0.042,0.345
3028,MS,South,Greene County,0.185,0.072,0.377
3029,MS,South,Greene County,0.185,0.072,0.401
3030,MS,South,Grenada County,0.218,0.084,0.378
3031,MS,South,Grenada County,0.214,0.084,0.38
3032,MS,South,Hancock County,0.154,0.17,0.333
3033,MS,South,Hancock County,0.161,0.17,0.289
3034,MS,South,Harrison County,0.178,0.163,0.342
3035,MS,South,Harrison County,0.186,0.163,0.337
3036,MS,South,Hinds County,0.249,0.111,0.37
3037,MS,South,Hinds County,0.247,0.111,0.36
3038,MS,South,Holmes County,0.352,0.199,0.411
3039,MS,South,Holmes County,0.327,0.199,0.45
3040,MS,South,Humphreys County,0.34,0.118,0.423
3041,MS,South,Humphreys County,0.328,0.118,0.424
3042,MS,South,Issaquena County,0.27,0.162,0.37
3043,MS,South,Itawamba County,0.146,0.044,0.365
3044,MS,South,Itawamba County,0.152,0.044,0.332
3045,MS,South,Jackson County,0.175,0.086,0.331
3046,MS,South,Jackson County,0.176,0.086,0.32
3047,MS,South,Jasper County,0.218,0.055,0.403
3048,MS,South,Jasper County,0.214,0.055,0.396
3049,MS,South,Jefferson County,0.344,0.044,0.448
3050,MS,South,Jefferson County,0.319,0.044,0.444
3051,MS,South,Jefferson Davis County,0.252,0.015,0.369
3052,MS,South,Jefferson Davis County,0.239,0.015,0.369
3053,MS,South,Jones County,0.181,0.077,0.368
3054,MS,South,Jones County,0.184,0.077,0.36
3055,MS,South,Kemper County,0.262,0.199,0.36
3056,MS,South,Kemper County,0.25,0.199,0.36
3057,MS,South,Lafayette County,0.194,0.137,0.33
3058,MS,South,Lafayette County,0.194,0.137,0.347
3059,MS,South,Lamar County,0.159,0.051,0.336
3060,MS,South,Lamar County,0.17,0.051,0.336
3061,MS,South,Lauderdale County,0.222,0.085,0.367
3062,MS,South,Lauderdale County,0.218,0.085,0.351
3063,MS,South,Lawrence County,0.195,0.092,0.378
3064,MS,South,Lawrence County,0.192,0.092,0.382
3065,MS,South,Leake County,0.215,0.06,0.359
3066,MS,South,Leake County,0.22,0.06,0.371
3067,MS,South,Lee County,0.188,0.073,0.301
3068,MS,South,Lee County,0.187,0.073,0.319
3069,MS,South,Leflore County,0.329,0.209,0.406
3070,MS,South,Leflore County,0.31,0.209,0.43
3071,MS,South,Lincoln County,0.187,0.109,0.366
3072,MS,South,Lincoln County,0.193,0.109,0.365
3073,MS,South,Lowndes County,0.231,0.107,0.363
3074,MS,South,Lowndes County,0.229,0.107,0.362
3075,MS,South,Madison County,0.167,0.06,0.316
3076,MS,South,Madison County,0.172,0.06,0.3
3077,MS,South,Marion County,0.202,0.09,0.371
3078,MS,South,Marion County,0.208,0.09,0.379
3079,MS,South,Marshall County,0.229,0.065,0.386
3080,MS,South,Marshall County,0.221,0.065,0.4
3081,MS,South,Monroe County,0.201,0.029,0.344
3082,MS,South,Monroe County,0.202,0.029,0.325
3083,MS,South,Montgomery County,0.238,0.293,0.363
3084,MS,South,Montgomery County,0.247,0.293,0.392
3085,MS,South,Neshoba County,0.168,0.024,0.355
3086,MS,South,Neshoba County,0.177,0.024,0.361
3087,MS,South,Newton County,0.174,0.059,0.317
3088,MS,South,Newton County,0.182,0.059,0.298
3089,MS,South,Noxubee County,0.317,0.096,0.436
3090,MS,South,Noxubee County,0.299,0.096,0.431
3091,MS,South,Oktibbeha County,0.256,0.158,0.315
3092,MS,South,Oktibbeha County,0.251,0.158,0.331
3093,MS,South,Panola County,0.242,0.125,0.36
3094,MS,South,Panola County,0.232,0.125,0.358
3095,MS,South,Pearl River County,0.169,0.059,0.33
3096,MS,South,Pearl River County,0.173,0.059,0.329
3097,MS,South,Perry County,0.174,0.032,0.325
3098,MS,South,Perry County,0.176,0.032,0.361
3099,MS,South,Pike County,0.242,0.046,0.378
3100,MS,South,Pike County,0.236,0.046,0.387
3101,MS,South,Pontotoc County,0.154,0.045,0.363
3102,MS,South,Pontotoc County,0.154,0.045,0.338
3103,MS,South,Prentiss County,0.179,0.028,0.331
3104,MS,South,Prentiss County,0.183,0.028,0.305
3105,MS,South,Quitman County,0.301,0.228,0.407
3106,MS,South,Quitman County,0.291,0.228,0.41
3107,MS,South,Rankin County,0.129,0.079,0.34
3108,MS,South,Rankin County,0.141,0.079,0.324
3109,MS,South,Scott County,0.18,0.091,0.389
3110,MS,South,Scott County,0.182,0.091,0.358
3111,MS,South,Sharkey County,0.296,0.038,0.408
3112,MS,South,Sharkey County,0.284,0.038,0.412
3113,MS,South,Simpson County,0.19,0.038,0.36
3114,MS,South,Simpson County,0.192,0.038,0.384
3115,MS,South,Smith County,0.158,0.053,0.336
3116,MS,South,Smith County,0.176,0.053,0.344
3117,MS,South,Stone County,0.16,0.082,0.322
3118,MS,South,Stone County,0.167,0.082,0.299
3119,MS,South,Sunflower County,0.317,0.164,0.439
3120,MS,South,Sunflower County,0.306,0.164,0.417
3121,MS,South,Tallahatchie County,0.257,0.38,0.389
3122,MS,South,Tallahatchie County,0.245,0.38,0.405
3123,MS,South,Tate County,0.189,0.15,0.35
3124,MS,South,Tate County,0.19,0.15,0.346
3125,MS,South,Tippah County,0.194,0.041,0.345
3126,MS,South,Tippah County,0.186,0.041,0.352
3127,MS,South,Tishomingo County,0.169,0.0,0.297
3128,MS,South,Tishomingo County,0.166,0.0,0.347
3129,MS,South,Tunica County,0.332,0.196,0.407
3130,MS,South,Tunica County,0.312,0.196,0.412
3131,MS,South,Union County,0.178,0.063,0.338
3132,MS,South,Union County,0.18,0.063,0.337
3133,MS,South,Walthall County,0.219,0.136,0.393
3134,MS,South,Walthall County,0.223,0.136,0.394
3135,MS,South,Warren County,0.228,0.116,0.398
3136,MS,South,Warren County,0.226,0.116,0.369
3137,MS,South,Washington County,0.323,0.094,0.4
3138,MS,South,Washington County,0.31,0.094,0.396
3139,MS,South,Wayne County,0.216,0.016,0.366
3140,MS,South,Wayne County,0.217,0.016,0.376
3141,MS,South,Webster County,0.209,0.059,0.353
3142,MS,South,Webster County,0.205,0.059,0.361
3143,MS,South,Wilkinson County,0.26,0.079,0.424
3144,MS,South,Wilkinson County,0.245,0.079,0.399
3145,MS,South,Winston County,0.239,0.085,0.357
3146,MS,South,Winston County,0.237,0.085,0.354
3147,MS,South,Yalobusha County,0.216,0.121,0.381
3148,MS,South,Yalobusha County,0.203,0.121,0.352
3149,MS,South,Yazoo County,0.272,0.216,0.383
3150,MS,South,Yazoo County,0.268,0.216,0.423
3151,MT,West,Beaverhead County,0.139,0.085,0.246
3152,MT,West,Beaverhead County,0.136,0.085,0.245
3153,MT,West,Big Horn County,0.203,0.245,0.353
3154,MT,West,Big Horn County,0.198,0.245,0.366
3155,MT,West,Blaine County,0.171,0.201,0.335
3156,MT,West,Blaine County,0.164,0.201,0.328
3157,MT,West,Broadwater County,0.131,0.111,0.295
3158,MT,West,Broadwater County,0.127,0.111,0.301
3159,MT,West,Carbon County,0.123,0.112,0.254
3160,MT,West,Carbon County,0.118,0.112,0.249
3161,MT,West,Cascade County,0.137,0.082,0.268
3162,MT,West,Cascade County,0.138,0.082,0.289
3163,MT,West,Chouteau County,0.145,0.347,0.291
3164,MT,West,Chouteau County,0.142,0.347,0.281
3165,MT,West,Custer County,0.125,0.176,0.242
3166,MT,West,Custer County,0.128,0.176,0.268
3167,MT,West,Daniels County,0.114,0.349,0.244
3168,MT,West,Dawson County,0.107,0.102,0.266
3169,MT,West,Dawson County,0.123,0.102,0.271
3170,MT,West,Deer Lodge County,0.161,0.033,0.274
3171,MT,West,Deer Lodge County,0.162,0.033,0.277
3172,MT,West,Fallon County,0.094,0.054,0.245
3173,MT,West,Fallon County,0.099,0.054,0.263
3174,MT,West,Fergus County,0.136,0.119,0.247
3175,MT,West,Fergus County,0.126,0.119,0.252
3176,MT,West,Flathead County,0.158,0.04,0.21
3177,MT,West,Flathead County,0.145,0.04,0.211
3178,MT,West,Gallatin County,0.14,0.043,0.175
3179,MT,West,Gallatin County,0.137,0.043,0.169
3180,MT,West,Glacier County,0.21,0.103,0.315
3181,MT,West,Glacier County,0.196,0.103,0.317
3182,MT,West,Granite County,0.152,0.219,0.209
3183,MT,West,Granite County,0.151,0.219,0.227
3184,MT,West,Hill County,0.143,0.161,0.327
3185,MT,West,Hill County,0.142,0.161,0.332
3186,MT,West,Jefferson County,0.1,0.125,0.201
3187,MT,West,Jefferson County,0.1,0.125,0.207
3188,MT,West,Judith Basin County,0.114,0.204,0.255
3189,MT,West,Judith Basin County,0.114,0.204,0.259
3190,MT,West,Lake County,0.181,0.081,0.273
3191,MT,West,Lake County,0.168,0.081,0.267
3192,MT,West,Lewis and Clark County,0.117,0.063,0.238
3193,MT,West,Lewis and Clark County,0.115,0.063,0.23
3194,MT,West,Lincoln County,0.2,0.065,0.262
3195,MT,West,Lincoln County,0.18,0.065,0.295
3196,MT,West,Madison County,0.13,0.11,0.227
3197,MT,West,Madison County,0.125,0.11,0.208
3198,MT,West,Meagher County,0.164,0.497,0.256
3199,MT,West,Meagher County,0.141,0.497,0.25
3200,MT,West,Mineral County,0.172,0.18,0.297
3201,MT,West,Mineral County,0.171,0.18,0.285
3202,MT,West,Missoula County,0.155,0.079,0.205
3203,MT,West,Missoula County,0.15,0.079,0.211
3204,MT,West,Musselshell County,0.135,0.136,0.24
3205,MT,West,Musselshell County,0.124,0.136,0.234
3206,MT,West,Park County,0.134,0.145,0.227
3207,MT,West,Park County,0.128,0.145,0.232
3208,MT,West,Phillips County,0.118,0.108,0.266
3209,MT,West,Phillips County,0.119,0.108,0.27
3210,MT,West,Pondera County,0.147,0.246,0.29
3211,MT,West,Pondera County,0.144,0.246,0.285
3212,MT,West,Powell County,0.146,0.075,0.252
3213,MT,West,Powell County,0.144,0.075,0.244
3214,MT,West,Prairie County,0.123,0.377,0.266
3215,MT,West,Ravalli County,0.146,0.02,0.209
3216,MT,West,Ravalli County,0.141,0.02,0.205
3217,MT,West,Richland County,0.111,0.099,0.309
3218,MT,West,Richland County,0.121,0.099,0.297
3219,MT,West,Roosevelt County,0.176,0.263,0.358
3220,MT,West,Roosevelt County,0.166,0.263,0.365
3221,MT,West,Rosebud County,0.153,0.102,0.327
3222,MT,West,Rosebud County,0.151,0.102,0.323
3223,MT,West,Sanders County,0.198,0.218,0.266
3224,MT,West,Sanders County,0.183,0.218,0.279
3225,MT,West,Sheridan County,0.11,0.113,0.275
3226,MT,West,Sheridan County,0.11,0.113,0.303
3227,MT,West,Silver Bow County,0.145,0.091,0.274
3228,MT,West,Silver Bow County,0.144,0.091,0.266
3229,MT,West,Stillwater County,0.115,0.058,0.252
3230,MT,West,Stillwater County,0.11,0.058,0.236
3231,MT,West,Sweet Grass County,0.102,0.086,0.218
3232,MT,West,Sweet Grass County,0.108,0.086,0.217
3233,MT,West,Teton County,0.122,0.205,0.242
3234,MT,West,Teton County,0.121,0.205,0.261
3235,MT,West,Toole County,0.131,0.114,0.287
3236,MT,West,Toole County,0.134,0.114,0.285
3237,MT,West,Valley County,0.12,0.139,0.274
3238,MT,West,Valley County,0.126,0.139,0.291
3239,MT,West,Wheatland County,0.131,0.438,0.245
3240,MT,West,Wheatland County,0.119,0.438,0.249
3241,MT,West,Yellowstone County,0.121,0.066,0.271
3242,MT,West,Yellowstone County,0.12,0.066,0.257
3243,NC,South,Alamance County,0.174,0.113,0.341
3244,NC,South,Alamance County,0.171,0.113,0.332
3245,NC,South,Alexander County,0.156,0.023,0.272
3246,NC,South,Alexander County,0.159,0.023,0.283
3247,NC,South,Alleghany County,0.174,0.014,0.247
3248,NC,South,Alleghany County,0.164,0.014,0.235
3249,NC,South,Anson County,0.232,0.031,0.346
3250,NC,South,Anson County,0.227,0.031,0.351
3251,NC,South,Ashe County,0.157,0.025,0.225
3252,NC,South,Ashe County,0.163,0.025,0.243
3253,NC,South,Avery County,0.167,0.0,0.289
3254,NC,South,Avery County,0.168,0.0,0.257
3255,NC,South,Beaufort County,0.191,0.051,0.343
3256,NC,South,Beaufort County,0.192,0.051,0.319
3257,NC,South,Bertie County,0.248,0.047,0.35
3258,NC,South,Bertie County,0.241,0.047,0.352
3259,NC,South,Bladen County,0.224,0.032,0.361
3260,NC,South,Bladen County,0.22,0.032,0.357
3261,NC,South,Brunswick County,0.16,0.048,0.295
3262,NC,South,Brunswick County,0.159,0.048,0.291
3263,NC,South,Buncombe County,0.148,0.086,0.236
3264,NC,South,Buncombe County,0.155,0.086,0.236
3265,NC,South,Burke County,0.174,0.122,0.288
3266,NC,South,Burke County,0.169,0.122,0.31
3267,NC,South,Cabarrus County,0.152,0.058,0.309
3268,NC,South,Cabarrus County,0.147,0.058,0.293
3269,NC,South,Caldwell County,0.172,0.157,0.295
3270,NC,South,Caldwell County,0.172,0.157,0.293
3271,NC,South,Camden County,0.124,0.01,0.302
3272,NC,South,Camden County,0.122,0.01,0.313
3273,NC,South,Carteret County,0.144,0.07,0.29
3274,NC,South,Carteret County,0.15,0.07,0.281
3275,NC,South,Caswell County,0.197,0.061,0.325
3276,NC,South,Caswell County,0.193,0.061,0.339
3277,NC,South,Catawba County,0.167,0.099,0.284
3278,NC,South,Catawba County,0.163,0.099,0.285
3279,NC,South,Chatham County,0.128,0.035,0.257
3280,NC,South,Chatham County,0.126,0.035,0.256
3281,NC,South,Cherokee County,0.155,0.001,0.275
3282,NC,South,Cherokee County,0.16,0.001,0.289
3283,NC,South,Chowan County,0.221,0.074,0.3
3284,NC,South,Chowan County,0.212,0.074,0.316
3285,NC,South,Clay County,0.153,0.016,0.258
3286,NC,South,Clay County,0.157,0.016,0.264
3287,NC,South,Cleveland County,0.195,0.056,0.302
3288,NC,South,Cleveland County,0.19,0.056,0.292
3289,NC,South,Columbus County,0.22,0.014,0.321
3290,NC,South,Columbus County,0.214,0.014,0.315
3291,NC,South,Craven County,0.187,0.062,0.319
3292,NC,South,Craven County,0.181,0.062,0.304
3293,NC,South,Cumberland County,0.203,0.128,0.338
3294,NC,South,Cumberland County,0.205,0.128,0.311
3295,NC,South,Currituck County,0.108,0.028,0.292
3296,NC,South,Currituck County,0.122,0.028,0.305
3297,NC,South,Dare County,0.152,0.099,0.281
3298,NC,South,Dare County,0.149,0.099,0.278
3299,NC,South,Davidson County,0.163,0.064,0.29
3300,NC,South,Davidson County,0.159,0.064,0.299
3301,NC,South,Davie County,0.134,0.027,0.281
3302,NC,South,Davie County,0.134,0.027,0.265
3303,NC,South,Duplin County,0.187,0.008,0.361
3304,NC,South,Duplin County,0.186,0.008,0.34
3305,NC,South,Durham County,0.197,0.062,0.294
3306,NC,South,Durham County,0.191,0.062,0.288
3307,NC,South,Edgecombe County,0.273,0.095,0.37
3308,NC,South,Edgecombe County,0.257,0.095,0.397
3309,NC,South,Forsyth County,0.181,0.12,0.26
3310,NC,South,Forsyth County,0.178,0.12,0.259
3311,NC,South,Franklin County,0.169,0.022,0.334
3312,NC,South,Franklin County,0.165,0.022,0.325
3313,NC,South,Gaston County,0.179,0.107,0.273
3314,NC,South,Gaston County,0.176,0.107,0.312
3315,NC,South,Gates County,0.167,0.0,0.328
3316,NC,South,Gates County,0.168,0.0,0.343
3317,NC,South,Graham County,0.187,0.017,0.295
3318,NC,South,Graham County,0.183,0.017,0.295
3319,NC,South,Granville County,0.169,0.027,0.302
3320,NC,South,Granville County,0.172,0.027,0.333
3321,NC,South,Greene County,0.198,0.0,0.318
3322,NC,South,Greene County,0.194,0.0,0.331
3323,NC,South,Guilford County,0.198,0.067,0.274
3324,NC,South,Guilford County,0.193,0.067,0.282
3325,NC,South,Halifax County,0.259,0.096,0.379
3326,NC,South,Halifax County,0.251,0.096,0.392
3327,NC,South,Harnett County,0.185,0.041,0.331
3328,NC,South,Harnett County,0.178,0.041,0.31
3329,NC,South,Haywood County,0.141,0.069,0.259
3330,NC,South,Haywood County,0.143,0.069,0.239
3331,NC,South,Henderson County,0.125,0.052,0.219
3332,NC,South,Henderson County,0.13,0.052,0.218
3333,NC,South,Hertford County,0.246,0.063,0.341
3334,NC,South,Hertford County,0.24,0.063,0.334
3335,NC,South,Hoke County,0.191,0.095,0.331
3336,NC,South,Hoke County,0.191,0.095,0.344
3337,NC,South,Hyde County,0.204,0.257,0.315
3338,NC,South,Hyde County,0.201,0.257,0.297
3339,NC,South,Iredell County,0.157,0.054,0.279
3340,NC,South,Iredell County,0.154,0.054,0.283
3341,NC,South,Jackson County,0.161,0.082,0.328
3342,NC,South,Jackson County,0.163,0.082,0.323
3343,NC,South,Johnston County,0.156,0.017,0.334
3344,NC,South,Johnston County,0.153,0.017,0.343
3345,NC,South,Jones County,0.186,0.0,0.341
3346,NC,South,Jones County,0.193,0.0,0.343
3347,NC,South,Lee County,0.188,0.094,0.292
3348,NC,South,Lee County,0.177,0.094,0.292
3349,NC,South,Lenoir County,0.229,0.048,0.342
3350,NC,South,Lenoir County,0.221,0.048,0.353
3351,NC,South,Lincoln County,0.153,0.051,0.279
3352,NC,South,Lincoln County,0.15,0.051,0.286
3353,NC,South,Macon County,0.159,0.024,0.245
3354,NC,South,Macon County,0.162,0.024,0.242
3355,NC,South,Madison County,0.148,0.036,0.3
3356,NC,South,Madison County,0.152,0.036,0.29
3357,NC,South,Martin County,0.225,0.01,0.339
3358,NC,South,Martin County,0.223,0.01,0.358
3359,NC,South,McDowell County,0.176,0.033,0.338
3360,NC,South,McDowell County,0.169,0.033,0.313
3361,NC,South,Mecklenburg County,0.188,0.066,0.255
3362,NC,South,Mecklenburg County,0.181,0.066,0.244
3363,NC,South,Mitchell County,0.159,0.026,0.291
3364,NC,South,Mitchell County,0.165,0.026,0.304
3365,NC,South,Montgomery County,0.201,0.003,0.313
3366,NC,South,Montgomery County,0.191,0.003,0.33
3367,NC,South,Moore County,0.148,0.06,0.285
3368,NC,South,Moore County,0.153,0.06,0.278
3369,NC,South,Nash County,0.216,0.04,0.333
3370,NC,South,Nash County,0.21,0.04,0.319
3371,NC,South,New Hanover County,0.176,0.079,0.255
3372,NC,South,New Hanover County,0.174,0.079,0.25
3373,NC,South,Northampton County,0.237,0.027,0.307
3374,NC,South,Northampton County,0.237,0.027,0.356
3375,NC,South,Onslow County,0.169,0.11,0.278
3376,NC,South,Onslow County,0.171,0.11,0.275
3377,NC,South,Orange County,0.154,0.114,0.208
3378,NC,South,Orange County,0.156,0.114,0.213
3379,NC,South,Pamlico County,0.152,0.023,0.302
3380,NC,South,Pamlico County,0.157,0.023,0.304
3381,NC,South,Pasquotank County,0.21,0.091,0.326
3382,NC,South,Pasquotank County,0.204,0.091,0.345
3383,NC,South,Pender County,0.173,0.033,0.292
3384,NC,South,Pender County,0.17,0.033,0.269
3385,NC,South,Perquimans County,0.184,0.005,0.319
3386,NC,South,Perquimans County,0.178,0.005,0.338
3387,NC,South,Person County,0.185,0.026,0.326
3388,NC,South,Person County,0.178,0.026,0.333
3389,NC,South,Pitt County,0.225,0.032,0.357
3390,NC,South,Pitt County,0.215,0.032,0.371
3391,NC,South,Polk County,0.127,0.002,0.23
3392,NC,South,Polk County,0.142,0.002,0.251
3393,NC,South,Randolph County,0.157,0.072,0.287
3394,NC,South,Randolph County,0.154,0.072,0.298
3395,NC,South,Richmond County,0.228,0.05,0.305
3396,NC,South,Richmond County,0.219,0.05,0.349
